Kalkulationsstruktur,Preiseinheit,ME,     Preis,Kalkulationslosgrî·e, Menge,BWME,Wert Gesamt,WÑhrung,Ressource,Fehlerstatus,Preisstrategie (Text),Kostenart (Text),Kennzeichen Baugruppe
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.05,H,4.31,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.05,H,3.84,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,0.45,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.61,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Ventilinsel  MPA-S,1,ST,1108.07,0,1,ST,1108.07,CHF,CH10 10176305,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Kabelsatz  +A5 Valve terminal,1,ST,206.54,0,1,ST,206.54,CHF,CH10 10172728,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Schlauchsatz  +A5 +B16 Ventilinsel VG,1,ST,150.64,0,1,ST,150.64,CHF,CH10 10173118,,Preis aus Einkaufsinfosatz,Zukaufteile,
Zuschlag MGK,,,0,,,,114.29,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.57,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Tastatur  K400 Plus,1,ST,37.9,0,1,ST,37.9,CHF,CH10 10072360,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zentriereinheit,1,ST,789.11,1,1,ST,789.11,CHF,CH10 10119530,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
VOMO Kleinteile H3 UG,1,H,70.32,0,0,H,0,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
VOMO Kleinteile H3 UG,1,H,70.32,0,0.25,H,17.58,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
StÅtze  (I),1,ST,383,0,1,ST,383,CHF,CH10 10119529,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zentriereinheit,1,ST,105.34,0,1,ST,105.34,CHF,CH10 10119522,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Blech,1,ST,13.46,34,1,ST,13.46,CHF,CH10 10088974,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.014,H,1.46,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  4,0x1000x2000 X5CrNi18-10",1,M2,168.54,0,0.047,M2,7.92,CHF,CH10 1700064,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.004,H,0.31,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.62,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.02,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Aufnahme,1,ST,13,48,1,ST,13,CHF,CH10 10089749,,,Eigenfertigung,X
,,,,,,,,,,,,,
Lehrlinge frÑsen CNC,1,H,60,0,0.01,H,0.62,CHF,200110     20011003 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Lehrlinge frÑsen CNC,1,H,60,0,0.1,H,6,CHF,200110     20011003 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Flach-Al  60x40  AlSi1MgMn,"       1,000",MM,50.17,0,60,MM,3.01,CHF,CH10 1100263,,Preis aus Einkaufsinfosatz,Rohmaterial,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.011,H,1.12,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.23,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.01,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Bolzen,1,ST,5.37,0,3,ST,16.11,CHF,CH10 10091906,,Bewertungspreis mit USER-EXIT,Zukaufteile,
BÅchse,1,ST,47.5,0,1,ST,47.5,CHF,CH10 10093444,,Bewertungspreis mit USER-EXIT,Zukaufteile,
BÅrste,1,ST,22.39,0,1,ST,22.39,CHF,CH10 10026029,,Bewertungspreis mit USER-EXIT,Fremdfertigung,
Gabel,1,ST,16.01,0,1,ST,16.01,CHF,CH10 10089748,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Halteblech  (I),1,ST,10.69,16,1,ST,10.69,CHF,CH10 10136828,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.012,H,1.25,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  6x1500x3000 DD11,1,M2,78.57,0,0.038,M2,2.99,CHF,CH10 1300179,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.009,H,0.67,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.03,H,2.59,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.23,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.54,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Einstelllehre  kpl.,1,ST,71.47,1,1,ST,71.47,CHF,CH10 10118774,,,Eigenfertigung,X
,,,,,,,,,,,,,
VOMO Kleinteile H3 UG,1,H,70.32,0,0,H,0,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
VOMO Kleinteile H3 UG,1,H,70.32,0,0.1,H,7.03,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Halter,1,ST,46.47,0,1,ST,46.47,CHF,CH10 10118773,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Einsatz,1,ST,7.18,0,1,ST,7.18,CHF,CH10 10093408,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Einsatz,1,ST,2.17,0,1,ST,2.17,CHF,CH10 10093410,,Preis aus Einkaufsinfosatz,Zukaufteile,
Einsatz  E-Setup Precision,1,ST,0.87,0,1,ST,0.87,CHF,CH10 10098083,,Preis aus Einkaufsinfosatz,Zukaufteile,
Erdungskabel  L0.25m [AK3.2 BK5.2],1,ST,1.5,50,1,ST,1.5,CHF,CH10 10093411,,,Eigenfertigung,X
,,,,,,,,,,,,,
,1,H,74.51,0,0.016,H,1.19,CHF,210412     21041101 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
,,,0,,,,0.31,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Zuschlag MGK,,,0,,,,4.42,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.83,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Kabel  -XPE-XPE[AOBO],1,ST,3.85,5,1,ST,3.85,CHF,CH10 10089880,,,Eigenfertigung,X
,,,,,,,,,,,,,
Elektro Vormontage,1,H,74.51,0,0.041,H,3.05,CHF,210412     21041101 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag PGK,,,0,,,,0.79,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech,1,ST,6.22,24,1,ST,6.22,CHF,CH10 10039428,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.013,H,1.36,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,0x1000x2000 X5CrNi18-10",1,M2,99.96,0,0.02,M2,2,CHF,CH10 1700056,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.006,H,0.44,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.16,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.84,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech,1,ST,3.97,24,1,ST,3.97,CHF,CH10 10039440,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,0x1000x2000 X5CrNi18-10",1,M2,99.96,0,0.007,M2,0.7,CHF,CH10 1700056,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.006,H,0.44,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.015,H,1.07,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.05,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.66,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Winkel,1,ST,7.33,0,1,ST,7.33,CHF,CH10 10040373,,Preis aus Einkaufsinfosatz,Zukaufteile,
Zuschlag MGK,,,0,,,,46.62,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.57,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abluftfilter  Quantum QS4 50Hz,1,ST,10645.21,0,1,ST,10645.21,CHF,CH10 10152365,,Preis aus Einkaufsinfosatz,Zukaufteile,
Panel-PC  NEOS BVC EMBC1100 16GB,1,ST,2424.7,1,1,ST,2424.7,CHF,CH10 10162459,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
PC - Montage / Montieren,1,H,74.51,0,0,H,0,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PC - Montage / Montieren,1,H,74.51,0,0.15,H,11.18,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Bildschirm  FSM22,1,ST,932.87,1,1,ST,932.87,CHF,CH10 10141109,,,Eigenfertigung,X
,,,,,,,,,,,,,
PC - Montage // Kleben & Montieren,1,H,74.51,0,0,H,0,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PC - Montage // Kleben & Montieren,1,H,74.51,0,0.25,H,18.63,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Display  FSG215HVN01.0-Air bonding,1,ST,534.39,0,1,ST,534.39,CHF,CH10 10139929,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Display  Alu Case Display FSM22,1,ST,283.02,0,1,ST,283.02,CHF,CH10 10139888,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Kabelbaum  HDBasT USB / LVDS,1,ST,26.19,0,1,ST,26.19,CHF,CH10 10139946,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zuschlag MGK,,,0,,,,65.8,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.84,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Motherboard  EMBC-1100-BY 16GB kpl.,1,ST,957.48,0,1,ST,957.48,CHF,CH10 10116411,,Preis aus Einkaufsinfosatz,Zukaufteile,
RÅckwand  EMBC-1100,1,ST,126.64,0,1,ST,126.64,CHF,CH10 10140988,,Preis aus Einkaufsinfosatz,Zukaufteile,
Kabel  EMBC1100,1,ST,21.59,0,1,ST,21.59,CHF,CH10 10152866,,Preis aus Einkaufsinfosatz,Zukaufteile,
Anschlussblech  EMBC-1100,1,ST,2.64,0,1,ST,2.64,CHF,CH10 10140867,,Preis aus Einkaufsinfosatz,Zukaufteile,
Anschlussblech  EMBC-1100,1,ST,10.79,0,1,ST,10.79,CHF,CH10 10152951,,Preis aus Einkaufsinfosatz,Zukaufteile,
"Stecker  DFK-MC 1,5/ 4",1,ST,1.76,0,1,ST,1.76,CHF,CH10 10107015,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Litze  L120mm[A:K4 B:F2.8],1,ST,4.64,0,1,ST,4.64,CHF,CH10 10107261,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Kabel  RF-USV COM4 EMBC-1100,1,ST,20.39,5,1,ST,20.39,CHF,CH10 10107240,,,Eigenfertigung,X
,,,,,,,,,,,,,
Elektro Vormontage,1,H,74.51,0,0.216,H,16.09,CHF,210412     21041101 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Widerstand  5.6kOhm 0.6W,1,ST,0.1,0,1,ST,0.1,CHF,CH10 10108549,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Zuschlag MGK,,,0,,,,0.01,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.18,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
PC - Montage / Trocknen,1,H,74.51,0,0,H,0,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PC - Montage / Trocknen,1,H,74.51,0,0,H,0,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PC - Montage / Reinigen,1,H,74.51,0,0,H,0,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PC - Montage / Reinigen,1,H,74.51,0,0.1,H,7.45,CHF,210412     21041201 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Software auf PC und USB laden Material b,1,H,74.51,0,0,H,0,CHF,210412     21041203 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Software auf PC und USB laden Material b,1,H,74.51,0,0.46,H,34.27,CHF,210412     21041203 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Softwaresatz  Bystronic Backup Remote,1,ST,74.47,5,1,ST,74.47,CHF,CH10 10174292,,,Eigenfertigung,X
,,,,,,,,,,,,,
USB Flash Disk  64GB,1,ST,69.08,0,1,ST,69.08,CHF,CH10 10119524,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zuschlag MGK,,,0,,,,5.39,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
,,,,,,,,,,,,,
Softwarelizenz  WIN 10 IoT LTSC i5 2019,1,ST,75.79,0,1,ST,75.79,CHF,CH10 10122403,,Preis aus Einkaufsinfosatz,Zukaufteile,
Verpackung  USB Flash Disk 10x,1,ST,6.36,0,1,ST,6.36,CHF,CH10 10071954,,Preis aus Einkaufsinfosatz,Zukaufteile,
Verpackung  FSM22,1,ST,26.38,0,1,ST,26.38,CHF,CH10 10142615,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zuschlag MGK,,,0,,,,96.26,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,13.75,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Zubehîr,1,ST,1347.67,0,1,ST,1347.67,CHF,CH10 10178602,,Preis aus Einkaufsinfosatz,Zukaufteile,
Kabelsatz  +C1 Supply ATW,1,ST,366.62,0,1,ST,366.62,CHF,CH10 10172733,,Preis aus Einkaufsinfosatz,Zukaufteile,
Kabelsatz  without additional door,1,ST,366.62,0,1,ST,366.62,CHF,CH10 10172735,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Kabelsatz  Absaugung +B13,1,ST,362.68,0,1,ST,362.68,CHF,CH10 10172736,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Schneidkopf  SSC V2.2 HLC16 CC,1,ST,9637.35,1,1,ST,9637.35,CHF,CH10 10145822,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
Montage Takt 1 Abtastung,1,H,93.63,0,0.35,H,32.77,CHF,210508     21050802 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Halter,1,ST,43.17,0,1,ST,43.17,CHF,CH10 10097364,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zylinder,1,ST,100.17,0,1,ST,100.17,CHF,CH10 10067170,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Blech,1,ST,8.78,0,1,ST,8.78,CHF,CH10 10067175,,Preis aus Einkaufsinfosatz,Zukaufteile,
Rohr,1,ST,1.76,0,1,ST,1.76,CHF,CH10 10067171,,Preis aus Einkaufsinfosatz,Zukaufteile,
Platte,1,ST,77.04,0,1,ST,77.04,CHF,CH10 10087409,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Deckel,1,ST,151.94,20,1,ST,151.94,CHF,CH10 10157406,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
"Fabr. Hermle C32 U,",1,H,80,0,0.013,H,1,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Fabr. Hermle C32 U,",1,H,80,0,0.9,H,72,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Alu-Zuschnitt  100x50x130 AlSi1MgMn,1,ST,14.1,0,1,ST,14.1,CHF,CH10 10169539,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.038,H,2.25,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Handarbeit Hermle, 100% SichtprÅfung,",1,H,62.41,0,0,H,0,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Handarbeit Hermle, 100% SichtprÅfung,",1,H,62.41,0,0.125,H,7.8,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.25,H,25.47,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.1,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,28.22,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Montage Takt 2 Aufnahme,1,H,93.63,0,0.65,H,60.86,CHF,210508     21050802 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Isolation,1,ST,54.22,0,1,ST,54.22,CHF,CH10 10086104,,Preis aus Einkaufsinfosatz,Zukaufteile,
Klemmring,1,ST,26.75,0,1,ST,26.75,CHF,CH10 10087407,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Rohr,1,ST,382.1,0,1,ST,382.1,CHF,CH10 10097356,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Klemmring,1,ST,55.48,40,1,ST,55.48,CHF,CH10 10157405,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Zuschnitt,1,H,57.29,0,0.006,H,0.36,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Zuschnitt,1,H,57.29,0,0.1,H,5.73,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Rund-Inox  D65  X3CrNiMo13-4  1.4313,1,MM,0.19,0,32,MM,6.08,CHF,CH10 10067628,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Fabrikation Okuma,1,H,90.78,0,0.038,H,3.4,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Okuma,1,H,90.78,0,0.267,H,24.24,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.019,H,1.13,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.039,H,3.97,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.47,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,10.1,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Ring,1,ST,48.63,40,1,ST,48.63,CHF,CH10 10077580,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Zuschnitt,1,H,57.29,0,0.006,H,0.36,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Zuschnitt,1,H,57.29,0,0.1,H,5.73,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Rund-Inox  D65  X3CrNiMo13-4  1.4313,1,MM,0.19,0,36,MM,6.84,CHF,CH10 10067628,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Okuma,1,H,90.78,0,0.038,H,3.4,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Okuma,1,H,90.78,0,0.2,H,18.16,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.019,H,1.13,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.039,H,3.97,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.53,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,8.51,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Mutter,1,ST,11.57,0,1,ST,11.57,CHF,CH10 10087410,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,0.98,0,1,ST,0.98,CHF,CH10 10077644,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.33,0,1,ST,1.33,CHF,CH10 10077646,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,3.54,0,1,ST,3.54,CHF,CH10 10087408,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,0.71,0,1,ST,0.71,CHF,CH10 10087403,,Preis aus Einkaufsinfosatz,Zukaufteile,
Print  sscCapacitive,1,ST,89.8,0,1,ST,89.8,CHF,CH10 10111245,,Bewertungspreis mit USER-EXIT,Zukaufteile,
